                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.5795,                  3.174,                 3.8422,                0.00215,                0.06294,                0.00213,                 0.0009,                 6.2634,                 3.9218,                 4.0613,                0.00044,                0.00044,                0.00044
                      1,                 3.6785,                  1.681,                  2.368,                0.00685,                 0.0834,                0.00261,                0.00068,                 5.7566,                 3.6498,                 3.1335,             0.00089109,             0.00089109,             0.00089109
                      2,                 2.9177,                 1.3572,                 1.8669,                0.00449,                0.12274,                0.00236,                0.00077,                    4.8,                    inf,                 8.0354,              0.0013331,              0.0013331,              0.0013331
                      3,                 2.5071,                 1.2259,                 1.8399,                0.02337,                0.07002,                0.00658,                0.00127,                 4.9146,                 10.727,                 2.5002,              0.0017659,              0.0017659,              0.0017659
                      4,                 2.3647,                 1.1847,                 1.7628,                0.17685,                0.49253,                0.18243,                0.05678,                 3.1258,                 16.646,                 2.0911,              0.0019208,              0.0019208,              0.0019208
                      5,                 2.1653,                 1.1189,                 1.7202,                0.21091,                0.46814,                0.23548,                0.07031,                 2.8948,                 10.808,                  2.464,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.0021,                 1.0239,                  1.646,                0.55091,                0.65146,                0.61185,                0.24163,                 2.3814,                 2.8026,                 1.7098,               0.001901,               0.001901,               0.001901
                      7,                 1.9153,                 1.0042,                 1.6663,                0.36194,                0.51456,                0.40413,                0.13586,                 2.7427,                 2.9554,                 1.9975,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.8673,                0.99296,                 1.5979,                0.75631,                0.77891,                0.81408,                0.32622,                 2.4623,                 1.4563,                  1.691,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.7987,                0.96301,                  1.552,                0.77547,                0.73366,                0.80502,                0.31865,                 2.3453,                 1.4703,                 1.5033,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7383,                0.91151,                 1.5405,                0.74592,                0.67034,                0.75164,                0.35792,                 2.2002,                 1.4489,                 1.5371,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.7017,                 0.9279,                 1.4891,                0.81094,                0.78127,                0.85474,                0.47615,                 1.8207,                 1.3728,                 1.2833,               0.001802,               0.001802,               0.001802
                     12,                 1.6237,                0.88407,                 1.4877,                0.74212,                0.75622,                0.78878,                0.39489,                 2.0281,                 1.3273,                  1.381,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.6115,                0.98528,                 1.4556,                0.83137,                0.73249,                0.81469,                0.42368,                  2.104,                  1.193,                  1.419,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.6168,                0.92116,                 1.4869,                 0.7885,                0.61684,                 0.7124,                0.34138,                  2.221,                 1.3736,                 1.5792,              0.0017426,              0.0017426,              0.0017426
                     15,                  1.507,                0.80441,                 1.4002,                0.81704,                0.76242,                0.80196,                0.43498,                 1.9081,                  1.204,                 1.3471,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4991,                0.81378,                 1.3754,                 0.8514,                0.79338,                0.84692,                0.42795,                 1.9974,                  1.151,                 1.2994,               0.001703,               0.001703,               0.001703
                     17,                 1.5043,                0.79874,                 1.3472,                0.83546,                0.83892,                0.86772,                0.49182,                 1.7853,                 1.0257,                 1.1845,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.5049,                0.80395,                 1.3331,                0.88979,                 0.8395,                0.90202,                0.50005,                 1.8164,                0.97747,                 1.1704,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.468,                0.79258,                  1.309,                0.87042,                0.84736,                0.89614,                0.50994,                   1.77,                 1.3148,                 1.0971,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.4302,                 0.7667,                  1.299,                0.84218,                 0.8019,                0.84776,                0.47674,                 1.8379,                 1.1875,                 1.1908,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.4628,                0.81724,                  1.318,                0.92704,                0.87018,                0.92658,                 0.5424,                 1.7255,                0.89298,                 1.1591,               0.001604,               0.001604,               0.001604
                     22,                 1.4269,                0.75357,                 1.2784,                0.88742,                0.87097,                0.91292,                0.51707,                 1.8333,                0.91215,                 1.2371,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.4228,                0.76332,                 1.2694,                0.85708,                0.86816,                0.90502,                0.50352,                 1.7981,                0.98868,                 1.1651,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.3847,                0.72705,                 1.2497,                0.89187,                0.89221,                 0.9329,                0.53071,                 1.8389,                 0.8954,                 1.1491,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.3571,                  0.722,                 1.2447,                0.88116,                0.86467,                0.90635,                0.53043,                 1.6992,                0.86695,                 1.1227,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.3544,                0.71052,                 1.2081,                0.89935,                0.90087,                0.92587,                0.54495,                 1.6842,                0.83532,                 1.1332,               0.001505,               0.001505,               0.001505
                     27,                 1.4103,                0.84075,                 1.2178,                0.92247,                0.89868,                0.93431,                0.55505,                 1.6663,                0.86026,                 1.0765,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.3568,                 0.7362,                 1.2044,                 0.9069,                0.87962,                0.91226,                0.55011,                 1.6517,                0.91829,                 1.0507,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.3325,                0.70688,                 1.2016,                0.92544,                0.85366,                0.90718,                0.55344,                 1.7057,                0.84676,                 1.0749,              0.0014456,              0.0014456,              0.0014456
