                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     30,                 1.3601,                 0.7416,                 1.2046,                0.87337,                0.84112,                0.86932,                0.48907,                 1.7361,                0.91008,                 1.1556,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.3278,                0.69561,                 1.1911,                0.90679,                0.91081,                0.93288,                0.53794,                 1.7228,                0.85758,                 1.0397,               0.001406,               0.001406,               0.001406
                     32,                 1.3889,                0.72293,                 1.1932,                 0.8889,                0.90021,                0.91282,                0.54889,                 1.6265,                0.85168,                 1.0554,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.3261,                0.69554,                 1.1658,                0.89639,                0.89167,                0.90971,                0.53264,                 1.7093,                0.84931,                 1.0622,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.2986,                0.70712,                 1.1781,                 0.8916,                0.84771,                0.90772,                0.54558,                 1.6537,                0.81031,                 1.0395,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2842,                0.67421,                 1.1557,                0.94154,                0.93763,                0.95342,                 0.5873,                 1.6141,                0.71637,                 1.0067,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2765,                0.66448,                 1.1273,                0.93023,                0.90218,                0.94238,                 0.5874,                  1.575,                  0.741,                  1.001,               0.001307,               0.001307,               0.001307
                     37,                 1.2785,                0.66858,                  1.135,                0.92614,                 0.9465,                0.94891,                0.58767,                 1.6271,                0.73805,                 1.0717,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2614,                0.67953,                 1.1429,                0.93954,                0.91697,                0.94554,                0.57249,                 1.6583,                0.75951,                 1.0416,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2698,                0.65252,                 1.1253,                0.93101,                0.93437,                 0.9468,                0.59673,                 1.5627,                0.70386,                 1.0228,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2627,                 0.6512,                 1.1251,                 0.9246,                0.88758,                0.92404,                0.57562,                 1.6153,                0.78158,                 1.0042,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.262,                0.64882,                 1.1311,                0.93863,                0.92651,                0.94876,                0.59875,                 1.5822,                 0.7151,                 1.0068,               0.001208,               0.001208,               0.001208
                     42,                 1.2656,                0.65416,                 1.1237,                0.89341,                0.86782,                0.90232,                0.54727,                 1.6027,                0.79802,                 1.0149,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2444,                 0.6403,                 1.1069,                  0.937,                0.94886,                0.95493,                 0.5946,                 1.5574,                0.66684,                0.97805,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2555,                0.64305,                 1.1219,                0.90914,                0.90087,                0.92133,                0.55426,                 1.6307,                0.81463,                0.99786,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2634,                0.63971,                 1.1128,                0.91695,                0.92132,                0.93251,                0.58809,                 1.5367,                0.73832,                0.97907,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2387,                0.63394,                 1.1033,                 0.9277,                0.92881,                 0.9493,                0.60755,                 1.5534,                0.73199,                0.98959,               0.001109,               0.001109,               0.001109
                     47,                 1.2374,                0.63787,                 1.1103,                0.94772,                0.94493,                0.95452,                0.61365,                 1.5651,                0.70783,                0.98991,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2146,                 0.6277,                  1.097,                0.93989,                0.93504,                0.95708,                0.62459,                 1.4814,                0.70721,                0.97274,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2228,                0.62834,                   1.08,                0.92505,                0.89336,                0.93072,                0.54853,                 1.6238,                0.80425,                 1.0224,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2121,                0.61859,                 1.1059,                0.93308,                0.92147,                0.94826,                0.60976,                 1.5086,                0.72727,                 1.0103,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2119,                0.62857,                  1.092,                 0.8624,                0.86789,                0.91118,                0.57888,                  1.568,                0.82305,                0.99375,                0.00101,                0.00101,                0.00101
                     52,                 1.2335,                0.63726,                 1.1025,                0.91547,                 0.8631,                0.92228,                0.57269,                 1.5649,                0.83468,                 1.0124,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2343,                0.62107,                 1.0913,                0.91906,                0.92054,                0.94158,                0.61535,                 1.4999,                0.74228,                0.97953,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.2043,                0.61393,                 1.0979,                0.94459,                0.90323,                0.94424,                0.61245,                 1.4714,                0.78888,                0.99233,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2129,                0.60831,                 1.0965,                0.91723,                0.91553,                 0.9517,                 0.6314,                 1.4707,                0.71638,                 1.0101,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1799,                0.59832,                  1.075,                0.90352,                0.89891,                0.93907,                0.60827,                 1.4848,                0.77422,                 1.0518,               0.000911,               0.000911,               0.000911
                     57,                 1.2031,                0.60093,                 1.0817,                0.90234,                 0.9166,                0.93299,                0.61401,                 1.4772,                0.76824,                 1.0459,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1575,                0.59028,                 1.0743,                  0.885,                0.82612,                 0.9162,                0.61408,                  1.392,                0.81622,                 1.0929,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1831,                0.59792,                 1.0859,                  0.895,                0.91424,                0.92698,                0.63104,                 1.4193,                0.77359,                 1.0805,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.1797,                0.61133,                 1.0839,                0.89112,                0.87805,                0.92494,                0.62175,                 1.4065,                0.78772,                 1.0546,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1557,                0.58987,                 1.0709,                0.89847,                0.90637,                0.93596,                0.63334,                 1.3627,                0.80955,                  1.154,               0.000812,               0.000812,               0.000812
                     62,                 1.1523,                0.58784,                 1.0747,                0.92402,                0.90637,                 0.9399,                0.63712,                 1.3923,                0.77126,                  1.147,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1596,                0.59509,                 1.0716,                0.92083,                0.93337,                0.94792,                0.64454,                 1.3211,                0.77214,                 1.1337,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1295,                0.60936,                 1.0601,                0.92072,                0.90716,                0.93874,                0.64057,                 1.3289,                0.74579,                 1.1037,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1175,                0.57308,                 1.0656,                0.93953,                0.92998,                0.94953,                0.65849,                 1.3351,                0.71112,                 1.1255,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.1146,                0.56557,                 1.0632,                0.91128,                0.91317,                0.94028,                0.64364,                 1.3049,                0.76019,                 1.1257,               0.000713,               0.000713,               0.000713
                     67,                 1.1092,                0.56669,                 1.0639,                0.93371,                0.94198,                0.94942,                0.66528,                 1.2763,                0.69227,                 1.1258,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1231,                0.61772,                 1.0757,                0.93143,                0.91911,                0.93828,                0.64379,                 1.3052,                0.74168,                 1.1472,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1089,                0.56866,                 1.0624,                0.91909,                0.93706,                0.94606,                0.64041,                 1.3027,                0.74278,                 1.1305,              0.0006536,              0.0006536,              0.0006536
                     70,                  1.129,                0.56581,                 1.0715,                0.92457,                0.93706,                0.94744,                 0.6555,                 1.2323,                0.70759,                 1.1169,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.1045,                  0.556,                 1.0561,                0.91997,                 0.9316,                0.93899,                0.64632,                 1.2812,                0.72113,                  1.102,               0.000614,               0.000614,               0.000614
                     72,                 1.0902,                0.55397,                 1.0592,                 0.9177,                0.91975,                0.93814,                0.64732,                 1.2529,                0.73016,                  1.137,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.1029,                0.55519,                 1.0592,                0.92832,                0.87962,                0.91505,                0.63224,                 1.3067,                0.77362,                 1.1611,              0.0005744,              0.0005744,              0.0005744
                     74,                  1.112,                0.56763,                 1.0736,                0.89847,                0.89122,                 0.9157,                 0.6331,                 1.2602,                0.81663,                 1.1284,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0949,                0.55783,                 1.0558,                0.91985,                0.92762,                0.94277,                0.64735,                 1.2573,                0.70825,                  1.124,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0714,                0.55262,                 1.0543,                0.94514,                0.92172,                0.94446,                0.66522,                 1.2076,                0.70819,                 1.1039,               0.000515,               0.000515,               0.000515
                     77,                 1.1187,                0.56272,                 1.0587,                0.92667,                0.92054,                0.93864,                0.64463,                 1.2429,                0.73976,                 1.1254,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0559,                0.54251,                 1.0491,                0.94352,                0.93328,                0.95554,                0.68023,                 1.1662,                0.65945,                 1.1003,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0591,                0.54734,                 1.0482,                0.94253,                0.94571,                0.95319,                0.67816,                  1.141,                0.66696,                 1.0848,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0777,                 0.5602,                 1.0613,                0.94456,                 0.9229,                0.95079,                0.68022,                 1.1538,                0.69134,                 1.1196,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0606,                 0.5445,                 1.0481,                0.93059,                0.93627,                0.94226,                0.66765,                 1.1585,                 0.6763,                 1.1185,               0.000416,               0.000416,               0.000416
                     82,                 1.0589,                0.54402,                  1.051,                0.91583,                0.93311,                0.94651,                0.65934,                 1.1923,                0.70654,                 1.1004,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0629,                 0.5446,                 1.0468,                0.91852,                0.92762,                 0.9414,                 0.6615,                  1.176,                0.69707,                  1.104,              0.0003764,              0.0003764,              0.0003764
                     84,                  1.055,                0.53377,                 1.0447,                0.92465,                0.89536,                 0.9165,                0.63694,                 1.2187,                0.71889,                 1.1312,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0655,                  0.543,                 1.0572,                0.93068,                0.94014,                0.95343,                0.67189,                   1.16,                0.65996,                 1.0979,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.0402,                0.53257,                 1.0474,                0.92933,                0.92683,                0.94198,                0.67091,                 1.1578,                0.68521,                 1.1017,               0.000317,               0.000317,               0.000317
                     87,                 1.0455,                0.53015,                 1.0474,                0.93171,                0.93155,                0.94982,                0.68328,                 1.1364,                0.66734,                 1.0739,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0432,                0.52017,                 1.0354,                0.95243,                0.94508,                0.95894,                0.69083,                 1.1084,                0.62634,                 1.0832,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.0205,                0.51802,                 1.0393,                0.94722,                0.91776,                0.94352,                0.67868,                 1.1367,                0.67718,                  1.083,              0.0002576,              0.0002576,              0.0002576
                     90,                  1.046,                0.56276,                0.96631,                0.90074,                0.88749,                0.89313,                0.60009,                 1.3282,                0.85652,                 1.3423,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0333,                0.54401,                0.95946,                0.92475,                0.88958,                0.93416,                0.65669,                 1.1933,                0.73623,                 1.1911,               0.000218,               0.000218,               0.000218
                     92,                 1.0089,                0.52492,                0.95347,                0.93267,                0.86099,                 0.9012,                0.64132,                  1.225,                0.78301,                  1.196,              0.0001982,              0.0001982,              0.0001982
                     93,                0.97723,                0.51232,                0.93557,                0.94437,                0.91817,                0.94497,                0.68527,                 1.1012,                0.65193,                 1.0875,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.0024,                 1.1886,                0.94252,                0.93604,                0.92117,                0.93427,                0.67782,                 1.1161,                0.66381,                 1.1134,              0.0001586,              0.0001586,              0.0001586
                     95,                0.98887,                0.51858,                 0.9415,                0.94974,                0.93863,                0.95463,                0.70302,                 1.0568,                0.60281,                 1.0751,              0.0001388,              0.0001388,              0.0001388
                     96,                0.96687,                0.50987,                0.94167,                0.95067,                0.93391,                0.95274,                0.69884,                 1.0805,                0.61059,                 1.0932,               0.000119,               0.000119,               0.000119
                     97,                0.98655,                0.51916,                0.94784,                0.94803,                0.93283,                0.94669,                 0.6966,                 1.0452,                0.62358,                  1.083,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.95431,                0.50831,                0.94195,                0.94642,                 0.9465,                0.95968,                0.70674,                 1.0357,                0.58806,                 1.0826,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.96636,                0.51602,                0.94263,                0.95272,                0.94729,                0.95769,                0.70455,                 1.0332,                0.59086,                 1.0651,               5.96e-05,               5.96e-05,               5.96e-05
